id_restaurante;nome_restaurante;id;segmentId;templateId;storeId;name;description;badge;type;status;isDefault;createdAt;createdBy;updatedAt;updatedBy
1;A Casa da Massa;1;1;1;IWKESVR022;Campanha A;Excepturi earum quas quos tempora suscipit beatae iste quas fugit laboriosam laudantium.;winback;2;4;False;09/03/2024 11:20;uda-costa;23/08/2024 11:20;luiz-henrique58
1;A Casa da Massa;2;2;2;GZSR8RUW2X;Campanha B;Officia a facilis saepe iste illo nobis.;loyalty;2;4;False;31/07/2024 07:01;roliveira;25/03/2025 07:01;lcardoso
1;A Casa da Massa;3;3;3;F4JD1KSIBS;Campanha C;Blanditiis ipsam qui odit quas minus rerum praesentium ex cupiditate ipsa.;;2;3;True;06/06/2024 05:15;maria-luizaoliveira;25/03/2025 05:15;fmoraes
1;A Casa da Massa;4;4;4;GIXMC4SX27;Campanha D;Atque molestiae laboriosam omnis consectetur ab aliquam optio magni.;loyalty;2;3;True;08/06/2024 06:33;joao-guilherme42;20/06/2024 06:33;yrezende
1;A Casa da Massa;5;5;5;GVE4ZTJ1KM;Campanha E;Ipsa nostrum odit eum recusandae sapiente dignissimos quisquam.;migration;2;2;False;08/05/2024 08:06;gustavo-henriquesouza;25/09/2024 08:06;diogoda-conceicao
1;A Casa da Massa;6;6;6;I0RS210Q2L;Campanha F;Quo repellendus id laboriosam explicabo illo ratione.;;1;3;False;14/06/2024 03:36;marianapeixoto;08/10/2024 03:36;oda-conceicao
1;A Casa da Massa;7;7;7;5L0RXMIP11;Campanha G;Quos veritatis corporis laboriosam unde quasi accusantium soluta adipisci nobis dolore.;migration;1;2;False;05/03/2024 17:42;joao-guilherme18;25/12/2024 17:42;dalmeida
1;A Casa da Massa;8;8;8;WVV59HOTGD;Campanha H;;migration;1;1;True;19/05/2024 00:45;santosana-julia;05/03/2025 00:45;da-pazcaio
1;A Casa da Massa;9;9;9;AH6NHKSQNA;Campanha I;Fugiat eos ipsam fugit non voluptates ut.;loyalty;2;4;False;05/10/2024 08:46;ferreiraluiz-fernando;12/06/2025 08:46;barrosmaria-alice
1;A Casa da Massa;10;5;10;O6H5L3XFUL;Campanha J;Quidem temporibus eius explicabo nesciunt eligendi sunt quod voluptatum iure cum omnis.;loyalty;2;1;False;26/10/2024 09:11;novaesdavi;30/11/2024 09:11;lucca64
1;A Casa da Massa;11;10;11;S65QU0K5QZ;Campanha K;Fugiat soluta placeat ipsam aspernatur excepturi beatae molestiae repellat fuga iure dignissimos.;loyalty;2;2;False;14/06/2024 19:45;qda-cruz;18/10/2024 19:45;joao-lucas85
1;A Casa da Massa;12;5;12;Q6GUO8I5JW;Campanha L;In amet dicta optio laboriosam exercitationem voluptatem.;loyalty;2;4;False;21/03/2024 12:23;kaiquecardoso;28/10/2024 12:23;gabrielly09
1;A Casa da Massa;13;11;13;EN1S2OFHBA;Campanha M;Quia laudantium odio a praesentium cumque eaque voluptatem earum ad adipisci doloremque.;;1;4;False;02/11/2024 15:39;maiteda-mata;12/08/2025 15:39;marcela13
1;A Casa da Massa;14;12;14;JZEYQQCXZP;Campanha N;;winback;1;2;False;26/01/2024 10:41;freitasmaria;31/01/2024 10:41;xfernandes
1;A Casa da Massa;15;13;15;TOC1YFMHBY;Campanha O;Rem quia deleniti adipisci possimus consequuntur odio hic ea officiis eligendi est sed.;seasonal;1;4;False;05/05/2024 00:13;fpires;07/07/2024 00:13;davi-lucca33
1;A Casa da Massa;16;5;16;PVBNHI6HAB;Campanha P;Illo ipsa quae sequi repudiandae molestiae possimus ipsum accusamus enim quae voluptatibus.;migration;1;2;False;05/10/2024 21:05;sabrinabarbosa;11/03/2025 21:05;jda-luz
1;A Casa da Massa;17;14;17;S3LWW7OPID;Campanha Q;Earum corporis facere eveniet recusandae dolorem voluptas occaecati soluta illum.;loyalty;2;2;False;28/01/2024 20:49;maria-vitoriamartins;27/08/2024 20:49;fernanda82
1;A Casa da Massa;18;15;18;XNCHKV9DT9;Campanha R;Delectus maxime dolorem tenetur modi corrupti voluptates unde esse dolorum error omnis.;seasonal;2;2;False;06/02/2024 09:54;laurada-luz;27/06/2024 09:54;antoniobarros
1;A Casa da Massa;19;5;19;W5L4RMVVNX;Campanha S;Nihil reiciendis quaerat ullam quaerat adipisci fuga.;winback;1;3;False;19/05/2024 17:29;cavalcantinicole;16/08/2024 17:29;moreiraantonio
1;A Casa da Massa;20;16;20;1WCNKFHB7V;Campanha T;Laudantium neque architecto incidunt dolor doloremque impedit eaque sunt voluptatibus ipsa commodi.;seasonal;1;4;False;12/04/2024 13:58;joao-pedropinto;17/11/2024 13:58;joaquim23
1;A Casa da Massa;21;17;21;1I0MHB792Z;Campanha U;Id quam facere cumque velit esse dolorum.;seasonal;1;1;False;19/09/2024 10:49;omoreira;13/02/2025 10:49;sarah83
1;A Casa da Massa;22;18;22;8B97EGT2HS;Campanha V;Sunt veniam fugit doloribus qui quod consequatur consequatur consectetur ab eligendi ea voluptates.;;1;2;False;20/07/2024 17:02;xcarvalho;24/08/2024 17:02;pferreira
1;A Casa da Massa;23;19;23;U8H5R8MNQP;Campanha W;Architecto nam delectus in maiores labore quas provident sit consectetur.;;1;4;False;08/05/2024 11:42;gazevedo;01/10/2024 11:42;luiz-gustavo69
1;A Casa da Massa;24;20;24;17VF0JQQNV;Campanha X;Ipsam perspiciatis dolor suscipit iusto doloremque velit cupiditate nisi odio dolore porro porro.;loyalty;1;1;False;25/06/2024 18:13;lais16;06/08/2024 18:13;eloah76
1;A Casa da Massa;25;21;25;R778NRXVOB;Campanha Y;;;2;3;False;24/07/2024 05:27;castroeduarda;31/01/2025 05:27;yasminrocha
1;A Casa da Massa;26;5;26;WNCNPIR7NZ;Campanha Z;Pariatur voluptatum possimus rerum similique maxime unde.;seasonal;1;3;False;27/07/2024 16:29;lais95;03/04/2025 16:29;lucasramos
1;A Casa da Massa;27;5;27;84A1X7OV6S;Campanha AA;Inventore veniam adipisci assumenda nulla aut repellendus.;consumption;2;3;True;16/04/2024 20:40;nunesdaniel;06/02/2025 20:40;bgomes
1;A Casa da Massa;28;22;28;175DU23JH0;Campanha AB;Saepe dolorem consequatur illum qui asperiores tenetur optio possimus maiores numquam quae.;migration;1;4;False;22/10/2024 19:21;lara01;20/05/2025 19:21;paulo92
1;A Casa da Massa;29;23;29;X0GNZHG8Q3;Campanha AC;Non exercitationem distinctio non magnam architecto possimus odio eos harum nostrum quae.;consumption;2;4;True;02/08/2024 15:35;dnogueira;03/03/2025 15:35;asales
1;A Casa da Massa;30;24;30;5FKNJMVRYD;Campanha AD;;migration;1;2;False;11/09/2024 05:08;carvalhomarcelo;05/11/2024 05:08;diogoda-mota
1;A Casa da Massa;31;5;31;NS8JR1VMYM;Campanha AE;;winback;1;3;False;01/08/2024 15:06;tlopes;04/08/2024 15:06;vianapedro
1;A Casa da Massa;32;25;32;A5O47AET81;Campanha AF;Error voluptatem veniam dolor deserunt neque soluta libero hic.;winback;2;2;False;19/05/2024 00:48;ana-carolina13;09/07/2024 00:48;heloisa46
1;A Casa da Massa;33;26;33;AMB3LPVOWC;Campanha AG;Cupiditate cupiditate vitae explicabo quis possimus.;seasonal;1;4;False;12/01/2024 23:45;thomasda-costa;24/06/2024 23:45;pereiraigor
1;A Casa da Massa;34;27;34;Z552ZBRD39;Campanha AH;;;1;2;False;04/05/2024 21:36;silvaluiz-gustavo;11/08/2024 21:36;bryan32
1;A Casa da Massa;35;28;35;1XDPZF761H;Campanha AI;Ipsa commodi deleniti asperiores cumque cupiditate enim earum iste quasi dolores deleniti doloribus.;loyalty;2;1;False;02/04/2024 23:14;emanuellamendes;28/06/2024 23:14;isismartins
1;A Casa da Massa;36;29;36;571VXNZ0NX;Campanha AJ;;migration;2;1;False;06/10/2024 10:29;brendapinto;25/03/2025 10:29;davi-luccadas-neves
1;A Casa da Massa;37;30;37;MVG7UELN0L;Campanha AK;;consumption;1;2;True;24/02/2024 00:45;joao-felipecunha;09/04/2024 00:45;azevedoana-livia
1;A Casa da Massa;38;31;38;A4L3KHYFK0;Campanha AL;Temporibus qui molestias nam et officiis magnam.;winback;1;3;False;22/02/2024 04:03;ymoura;11/09/2024 04:03;da-pazcaroline
1;A Casa da Massa;39;32;39;R3RZN9L3H0;Campanha AM;Pariatur eos esse nihil molestiae sequi veritatis exercitationem labore magnam expedita.;loyalty;2;4;False;12/10/2024 03:51;da-luzenzo;01/08/2025 03:51;juliana13
1;A Casa da Massa;40;33;40;9TMY91OTKZ;Campanha AN;Architecto fugit optio sed ut aut unde numquam omnis suscipit blanditiis nisi odio.;winback;1;3;False;06/05/2024 22:25;jgomes;26/07/2024 22:25;igorgomes
1;A Casa da Massa;41;5;41;UPR6H2HXN4;Campanha AO;Facere exercitationem illum ratione molestias praesentium repudiandae a libero impedit ipsum quam quidem.;;1;1;False;07/07/2024 11:06;teixeiraerick;28/09/2024 11:06;qcarvalho
1;A Casa da Massa;42;34;42;9GB9XV8WOB;Campanha AP;;seasonal;2;1;False;18/02/2024 01:49;costelajoao-guilherme;18/08/2024 01:49;igor74
1;A Casa da Massa;43;35;43;JXNECRYSAU;Campanha AQ;Porro labore architecto ex laudantium velit ad distinctio.;loyalty;2;4;False;09/07/2024 20:21;kmendes;20/01/2025 20:21;barrosjoana
1;A Casa da Massa;44;36;44;KELZ5TOZO3;Campanha AR;Veniam aut asperiores eius dolorem quaerat quisquam repellendus velit voluptas nam ab.;winback;1;2;True;18/09/2024 02:40;maria-sophiaalves;28/04/2025 02:40;davi-lucasmonteiro
1;A Casa da Massa;45;37;45;GVGT2EEHFU;Campanha AS;Eveniet nisi quis porro accusamus autem.;consumption;1;4;False;23/09/2024 13:01;scastro;22/11/2024 13:01;gabrielly08
1;A Casa da Massa;46;5;46;IB86KTFRL6;Campanha AT;Corrupti tempora architecto ut ab maxime.;seasonal;1;2;False;23/09/2024 09:05;henriqueda-mata;23/09/2024 09:05;diasmaria-alice
1;A Casa da Massa;47;38;47;F4HETVJ0PT;Campanha AU;;consumption;2;2;False;26/01/2024 00:59;ferreiradavi-luiz;01/05/2024 00:59;clarice19
1;A Casa da Massa;48;39;48;C09ZGNX3VP;Campanha AV;Nulla quis ratione consectetur sequi tenetur fugit odit porro.;winback;1;1;False;06/08/2024 21:35;omoura;18/11/2024 21:35;pedro-henrique13
1;A Casa da Massa;49;40;49;TYOLD62F2J;Campanha AW;;migration;1;3;False;25/04/2024 16:20;pintomirella;27/06/2024 16:20;kgoncalves
1;A Casa da Massa;50;41;50;DMUKJDBL1G;Campanha AX;Magnam ratione perferendis vel totam nesciunt quia quam.;;2;2;False;27/08/2024 10:51;luiz-gustavocardoso;04/05/2025 10:51;limaaugusto
1;A Casa da Massa;51;42;51;YZXFUJ7XN1;Campanha AY;Voluptate magni aperiam ab ipsa dicta debitis sit quibusdam alias accusantium.;consumption;2;3;False;21/04/2024 09:13;juliananunes;25/04/2024 09:13;laiscunha
1;A Casa da Massa;52;5;52;SZ7IWDL14W;Campanha AZ;Officia consequatur soluta dignissimos temporibus perferendis in ex similique eius.;migration;2;4;False;27/04/2024 21:27;caldeiramaria-luiza;02/12/2024 21:27;pda-paz
1;A Casa da Massa;53;43;53;Y7ERYYTEAG;Campanha BA;Reprehenderit eius delectus aut corporis sit expedita excepturi voluptates ad excepturi eius.;consumption;1;1;False;15/01/2024 22:16;jnascimento;19/08/2024 22:16;barbosabianca
1;A Casa da Massa;54;5;54;8Y5SIC4S8P;Campanha BB;Recusandae nam aperiam voluptas consequuntur a cupiditate illum nostrum consectetur facere quibusdam.;loyalty;1;3;False;03/09/2024 15:43;helena55;20/04/2025 15:43;manuela72
1;A Casa da Massa;55;44;55;KH0UHK7X3B;Campanha BC;;winback;2;3;False;06/05/2024 23:08;da-mataenrico;08/01/2025 23:08;das-nevesvitor-gabriel
1;A Casa da Massa;56;5;56;DM0OAPHT6O;Campanha BD;Laudantium magni natus non dolore enim adipisci.;;2;3;True;06/05/2024 15:25;pedro-lucas53;03/11/2024 15:25;eribeiro
1;A Casa da Massa;57;45;57;PG3DP4FMPM;Campanha BE;Rerum nihil natus laboriosam animi eligendi.;;2;3;False;07/05/2024 00:08;nicolaspereira;09/11/2024 00:08;csouza
1;A Casa da Massa;58;46;58;X889ERRYE1;Campanha BF;Maiores illum fuga eum voluptates adipisci sunt doloribus magnam ducimus similique at.;;1;1;False;24/01/2024 01:11;alice68;15/04/2024 01:11;lucas-gabriel45
1;A Casa da Massa;59;47;59;EMAYB3PVAR;Campanha BG;;seasonal;1;2;False;22/02/2024 16:06;gabrielly66;03/03/2024 16:06;calebecaldeira
1;A Casa da Massa;60;48;60;59I3HZ3ZSG;Campanha BH;Optio vitae quasi dicta at quas.;loyalty;2;1;False;29/04/2024 23:00;miguel06;26/06/2024 23:00;diasmatheus
1;A Casa da Massa;61;49;61;7PWDBOLWIM;Campanha BI;Atque quaerat illo cumque eos reprehenderit consequatur harum sunt recusandae omnis cum.;consumption;2;3;True;27/04/2024 03:10;souzabrenda;03/08/2024 03:10;da-rosajoao-gabriel
1;A Casa da Massa;62;50;62;I6GAXLKKVP;Campanha BJ;Nulla nemo enim a itaque hic ad.;seasonal;1;2;False;27/05/2024 02:23;emanuella20;27/12/2024 02:23;agatha31
1;A Casa da Massa;63;5;63;0N2TNXHN5E;Campanha BK;Blanditiis sequi rerum quisquam quos ea harum cum totam.;seasonal;1;2;False;19/05/2024 09:42;da-luznicolas;19/11/2024 09:42;ana-vitoria31
1;A Casa da Massa;64;51;64;7CTM09HZBG;Campanha BL;Accusantium soluta dolorum repellendus culpa totam iure consequuntur consequatur sit dolores voluptatem atque.;winback;2;3;False;11/10/2024 10:30;estherviana;27/05/2025 10:30;wda-paz
1;A Casa da Massa;65;52;65;6CP7SAVZEB;Campanha BM;Perspiciatis repellat officiis porro sequi molestiae dignissimos deserunt officia sed repellendus dolor omnis.;;2;1;True;03/07/2024 22:45;rcardoso;01/09/2024 22:45;mirellada-mata
1;A Casa da Massa;66;53;66;1N2OJGFHZ5;Campanha BN;Aperiam consectetur perferendis fuga labore at similique vel aut labore doloribus ut accusamus.;consumption;1;3;False;16/03/2024 01:20;meloeloah;26/10/2024 01:20;ofreitas
1;A Casa da Massa;67;54;67;TGBIBF57J2;Campanha BO;Adipisci quisquam quia sint amet occaecati nam.;migration;2;3;False;12/10/2024 20:00;cunhapedro-miguel;26/02/2025 20:00;joao-gabriellopes
1;A Casa da Massa;68;55;68;85JE6K9WAM;Campanha BP;Iste praesentium culpa odio officiis possimus perspiciatis incidunt corrupti rerum magni ipsa.;seasonal;1;4;True;16/05/2024 19:44;fogacaana-livia;27/06/2024 19:44;lorenzo40
1;A Casa da Massa;69;5;69;5WT3HJU31F;Campanha BQ;;migration;2;2;False;21/09/2024 16:41;ysilva;30/01/2025 16:41;nogueiraana
1;A Casa da Massa;70;5;70;3GU7GKL53Y;Campanha BR;Porro repellat sed libero perspiciatis id aspernatur eveniet sit illo repellendus dolore quia.;seasonal;2;1;False;08/07/2024 04:25;acarvalho;10/10/2024 04:25;salesisaac
1;A Casa da Massa;71;5;71;E1ADNDA37E;Campanha BS;;migration;1;3;True;19/10/2024 01:37;joao-felipecampos;15/07/2025 01:37;davi-luiz31
1;A Casa da Massa;72;5;72;HRUPFLFCYW;Campanha BT;Nesciunt harum enim voluptatibus aliquam officiis adipisci similique vero placeat quisquam ipsum consectetur.;winback;2;2;False;12/10/2024 12:33;maria42;24/11/2024 12:33;gabriellyda-mata
1;A Casa da Massa;73;5;73;APFXI5N53E;Campanha BU;Rerum deserunt quidem neque placeat dolor corporis reprehenderit officia.;consumption;1;3;False;12/01/2024 05:52;cecilia84;05/05/2024 05:52;eferreira
1;A Casa da Massa;74;56;74;776VGTVYFY;Campanha BV;Rerum modi architecto nemo in repudiandae.;;2;3;False;26/02/2024 17:42;nathan65;28/08/2024 17:42;ana-claraalmeida
1;A Casa da Massa;75;57;75;2592FFQ293;Campanha BW;Alias unde distinctio deserunt facere similique fugit iure a necessitatibus nobis delectus ut.;consumption;1;2;True;14/10/2024 00:27;oliveirapietra;22/11/2024 00:27;ian53
1;A Casa da Massa;76;58;76;MRR9VWE77N;Campanha BX;Distinctio dolor explicabo autem dolor quasi inventore sunt sapiente quibusdam.;loyalty;2;1;False;04/11/2024 20:32;juliarezende;20/05/2025 20:32;zmendes
1;A Casa da Massa;77;59;77;S13HDNH4NR;Campanha BY;Illum inventore necessitatibus totam ducimus laborum quia nemo.;loyalty;2;4;False;24/08/2024 09:34;giovanna33;27/03/2025 09:34;carvalholuiz-gustavo
1;A Casa da Massa;78;60;78;86I3CE8ZNA;Campanha BZ;;migration;2;2;False;07/03/2024 18:04;lorenabarbosa;14/12/2024 18:04;ada-cruz
1;A Casa da Massa;79;61;79;NCCU3FG00Z;Campanha CA;Eligendi cum eligendi cupiditate consectetur iusto quisquam ad beatae autem rem porro quos.;seasonal;1;3;False;23/01/2024 11:57;livia78;07/04/2024 11:57;pintocaio
1;A Casa da Massa;80;62;80;CXVGFOP8QZ;Campanha CB;Deserunt tempore magni minus voluptate non nam officiis neque commodi vitae nisi nulla.;loyalty;2;1;False;23/02/2024 23:40;halmeida;12/05/2024 23:40;barbosathomas
1;A Casa da Massa;81;5;81;9EHWHG0U43;Campanha CC;Debitis odio eveniet alias culpa magnam officiis rerum.;loyalty;1;3;False;01/08/2024 07:20;arthur66;10/02/2025 07:20;da-mataclara
1;A Casa da Massa;82;5;82;HDCV4BKTCV;Campanha CD;;migration;1;3;False;18/09/2024 21:47;vicente31;23/04/2025 21:47;milena35
1;A Casa da Massa;83;63;83;UU2BL7AMKO;Campanha CE;;seasonal;1;3;False;13/02/2024 19:13;maite55;30/11/2024 19:13;isabel41
1;A Casa da Massa;84;64;84;D3FVNV4KFQ;Campanha CF;Animi quidem vel pariatur unde aliquam.;seasonal;1;2;False;17/06/2024 22:47;da-rosamarcos-vinicius;01/03/2025 22:47;da-luzana-vitoria
1;A Casa da Massa;85;65;85;9VS1QEKW7B;Campanha CG;;winback;1;2;False;24/07/2024 14:02;vitor39;14/04/2025 14:02;juliaazevedo
1;A Casa da Massa;86;66;86;DA1L526RQG;Campanha CH;Est id magnam consequatur tenetur odit vitae dignissimos.;migration;1;4;False;18/08/2024 22:29;nogueiravitor-hugo;29/04/2025 22:29;yurisantos
1;A Casa da Massa;87;67;87;91P778RNKO;Campanha CI;Odio fugit exercitationem libero earum impedit cum voluptatem accusamus aliquam est.;winback;2;3;False;20/04/2024 22:48;vsilva;18/12/2024 22:48;goncalvesyago
1;A Casa da Massa;88;68;88;SJ5YWX0I3A;Campanha CJ;;migration;1;4;False;13/02/2024 04:47;fazevedo;11/09/2024 04:47;fogacacaue
1;A Casa da Massa;89;69;89;MQT3DGD8OP;Campanha CK;Modi omnis voluptate temporibus ipsum quae doloribus laborum placeat dolorum odit.;loyalty;2;1;False;09/07/2024 07:20;vinicius72;25/08/2024 07:20;almeidagustavo-henrique
1;A Casa da Massa;90;5;90;BFQXLBVN7N;Campanha CL;Nam perspiciatis dolore deserunt dolore aliquid qui quia tenetur fuga.;seasonal;2;3;False;28/04/2024 21:14;brenda96;16/12/2024 21:14;stephanyda-rosa
1;A Casa da Massa;91;70;91;DCOKZ5SYJ3;Campanha CM;Quisquam eos recusandae molestias et veritatis quam eius officia enim.;loyalty;1;3;False;18/04/2024 16:04;enricojesus;17/07/2024 16:04;rodriguesmaria-fernanda
