id_restaurante;nome_restaurante;containerId;createdAt;customer_id;displayId;engineId;engineName;engineType;extraInfo;integrated;integrationId;isTest;orderTiming;orderType;salesChannel;scheduledAt;status;preparationTime;takeOutTimeInSeconds;totalAmount;updatedAt;version
1;A Casa da Massa;0AJ31R46;15/02/2025 09:27;44;3U3LEI;F05KIY;KDSPro;WEB;Hic voluptatibus labore dolorem labore neque optio.;True;1892;False;IMMEDIATE;DELIVERY;WHATSAPP;15/02/2025 09:27;CONCLUDED;83;1295;16.92;10/11/2024 00:44;v2.1.7
1;A Casa da Massa;0AKN053K;04/06/2025 06:54;733;54316U;JKAE90;IfoodBridge;APP;Illo fuga veritatis.;False;4618;False;IMMEDIATE;TAKEOUT;ANOTAAI;;CONFIRMED;66;3278;53.63;28/12/2024 03:27;v3.4.0
1;A Casa da Massa;0HIZO25M;11/09/2024 18:52;495;P2KHI0;06IAJ8;KDSPro;APP;;True;8909;False;SCHEDULED;INDOOR;SITE;17/01/2025 03:22;CANCELED;38;1910;50.4;17/01/2025 07:34;v1.4.5
1;A Casa da Massa;0YDRRDN2;15/08/2025 05:26;478;08RNPP;APCJEH;KDSPro;POS;Illum repellendus repellat cupiditate.;False;3279;False;IMMEDIATE;DELIVERY;99FOOD;13/04/2025 08:46;PENDING;32;2698;21.62;12/04/2025 15:02;v1.2.1
1;A Casa da Massa;141AFT2C;10/01/2025 21:20;235;4ZWBMF;ND4N2Z;DirectOrder;WEB;Tenetur illo dolorum beatae minus vero vel illum.;True;8307;False;SCHEDULED;TAKEOUT;IFOOD;17/05/2025 08:35;PENDING;47;1945;81.48;15/05/2025 04:14;v3.1.5
1;A Casa da Massa;1X5IL2OD;08/12/2024 04:01;432;XMXM7L;RTNSN1;DirectOrder;WEB;;True;6799;False;SCHEDULED;DELIVERY;ANOTAAI;03/01/2025 02:01;PLACED;24;1203;49.62;01/01/2025 16:25;v1.0.2
1;A Casa da Massa;2FRYFY9A;24/03/2025 15:04;225;FA3RNV;E3KHRA;CannoliEngine;POS;;False;1525;False;IMMEDIATE;INDOOR;EPADOCA;;CONCLUDED;66;1409;34.53;13/10/2024 18:06;v2.4.9
1;A Casa da Massa;2IOFO3D4;16/10/2024 14:42;369;1CZJE2;ST3VJQ;CannoliEngine;POS;;True;2734;False;IMMEDIATE;DELIVERY;WHATSAPP;;CONCLUDED;59;1799;66.62;08/11/2024 14:17;v3.5.3
1;A Casa da Massa;2L6V8KZY;10/01/2025 23:53;129;80JLOE;V8IK1N;CannoliEngine;APP;;False;5137;False;SCHEDULED;TAKEOUT;SITE;15/12/2024 07:03;PENDING;56;1580;19.19;15/12/2024 16:08;v1.8.1
1;A Casa da Massa;2MAZFRM5;18/04/2025 06:31;198;G540BX;8P4JL6;IfoodBridge;APP;Sed sit numquam aliquid quaerat possimus enim.;False;9155;False;SCHEDULED;DELIVERY;WHATSAPP;;PLACED;11;2094;47.12;05/02/2025 21:58;v3.3.7
1;A Casa da Massa;2UPQVGXX;04/10/2024 08:08;611;3GMEOS;H252KB;DirectOrder;POS;Voluptas laudantium fugit sequi cumque nisi voluptatem.;True;2142;False;SCHEDULED;DELIVERY;ANOTAAI;17/07/2025 11:34;CANCELED;40;1256;49.73;14/07/2025 23:16;v3.3.9
1;A Casa da Massa;2Y7JN3SV;06/11/2024 16:06;46;DTRYND;0EZ69F;IfoodBridge;WEB;Ratione molestias et quia dolores ab ipsam.;False;9612;False;SCHEDULED;TAKEOUT;SITE;;PENDING;26;1111;103.45;03/12/2024 09:25;v3.5.6
1;A Casa da Massa;3H8YVK2H;06/10/2024 12:25;172;Y2G0Z8;EY95RB;KDSPro;APP;Dolor beatae nesciunt placeat.;False;9435;False;SCHEDULED;DELIVERY;ANOTAAI;;CONFIRMED;24;3312;17.3;04/07/2025 21:43;v3.8.0
1;A Casa da Massa;3LIAG46Q;09/04/2025 08:12;228;E81DXZ;SF2HZ4;IfoodBridge;APP;;True;2042;False;IMMEDIATE;DELIVERY;IFOOD;;PENDING;12;943;28.91;01/01/2025 04:58;v2.7.0
1;A Casa da Massa;4823F93H;16/04/2025 19:32;6;7A8Q4G;A7RB7Y;KDSPro;POS;Vel aspernatur quos alias.;False;3148;False;SCHEDULED;TAKEOUT;ANOTAAI;;PENDING;42;779;16.9;04/06/2025 15:58;v3.4.3
1;A Casa da Massa;4EVJL4PC;24/05/2025 15:37;934;7DMIHW;RL1DSQ;IfoodBridge;POS;;True;6191;False;SCHEDULED;TAKEOUT;EPADOCA;;CONCLUDED;54;1992;43.12;14/11/2024 23:56;v3.2.6
1;A Casa da Massa;4H16W1EQ;21/04/2025 06:31;504;GMDVKO;K3NVUF;KDSPro;APP;;False;4430;False;SCHEDULED;DELIVERY;DELIVERYVIP;02/02/2025 22:19;PLACED;74;1655;37.28;03/02/2025 08:32;v1.1.8
1;A Casa da Massa;61K1UM1G;24/05/2025 15:37;513;9A8Q7U;A7C8IK;DirectOrder;WEB;;False;5443;False;IMMEDIATE;DELIVERY;SITE;27/07/2025 10:04;CONCLUDED;50;2208;107.83;27/07/2025 16:17;v1.4.3
1;A Casa da Massa;6A9WSL4I;24/05/2025 15:37;886;RBO2VF;S30MEQ;DirectOrder;APP;Sequi laborum alias animi est vel.;True;3962;False;SCHEDULED;INDOOR;99FOOD;;CONCLUDED;25;2423;58.98;04/02/2025 04:40;v2.5.7
1;A Casa da Massa;6DR1R3TA;12/07/2025 10:33;47;QFW4HF;NF8T9M;KDSPro;WEB;;False;7557;False;IMMEDIATE;INDOOR;SITE;12/07/2025 08:01;DISPATCHED;80;3274;107.82;11/07/2025 00:07;v2.9.1
1;A Casa da Massa;6K2TAAT1;24/05/2025 15:37;568;REW1VD;BV2NU2;KDSPro;POS;;True;6312;False;IMMEDIATE;DELIVERY;EPADOCA;;CONCLUDED;75;3458;30.54;13/05/2025 09:12;v1.9.2
1;A Casa da Massa;78FYB7QW;09/07/2025 16:40;918;ZZN1ED;HEGJZ1;DirectOrder;WEB;;True;3429;False;SCHEDULED;DELIVERY;EPADOCA;;CONCLUDED;33;1330;46.06;30/07/2025 08:01;v3.7.7
1;A Casa da Massa;7DE9BXZJ;30/08/2025 03:00;715;0FV1XQ;7JJZL6;DirectOrder;APP;;True;2388;False;SCHEDULED;TAKEOUT;EPADOCA;;DISPATCHED;75;397;92.75;18/12/2024 09:47;v2.5.9
1;A Casa da Massa;7MJ207F4;24/05/2025 15:37;777;5EB2WF;NJ62OV;CannoliEngine;APP;;False;1099;False;IMMEDIATE;INDOOR;SITE;;CONCLUDED;50;359;13.6;28/03/2025 17:36;v1.0.0
1;A Casa da Massa;8MLXSKOU;24/05/2025 15:37;29;DFK3FE;8FGKVT;DirectOrder;WEB;At repellat odit quisquam exercitationem repellendus voluptates.;False;4295;False;IMMEDIATE;DELIVERY;EPADOCA;;CONCLUDED;10;2122;104.05;03/07/2025 05:34;v1.3.3
1;A Casa da Massa;8OANOZ6F;24/05/2025 15:37;649;WOV6NB;D9K5JS;DirectOrder;APP;Incidunt facilis sit.;True;4755;False;SCHEDULED;DELIVERY;EPADOCA;23/09/2024 01:44;CONCLUDED;8;1709;27.14;22/09/2024 22:01;v3.2.7
1;A Casa da Massa;9AN2ZWRQ;24/05/2025 15:37;927;XKECS7;HKFZ97;DirectOrder;POS;;True;2108;False;SCHEDULED;INDOOR;IFOOD;13/09/2024 10:52;CONCLUDED;36;2231;31.97;12/09/2024 12:49;v1.9.5
1;A Casa da Massa;9CWYDJL1;03/11/2024 01:57;126;YIC7TI;XCEMSG;KDSPro;WEB;Eum exercitationem omnis soluta.;False;9365;False;SCHEDULED;INDOOR;WHATSAPP;;DISPATCHED;14;2429;27.65;30/06/2025 03:06;v1.3.9
1;A Casa da Massa;9JUXVMFQ;16/05/2025 01:14;713;82SALJ;RC474U;DirectOrder;POS;;True;1074;False;SCHEDULED;TAKEOUT;EPADOCA;;PENDING;59;3005;69.17;16/11/2024 15:41;v2.6.0
1;A Casa da Massa;AZ6O4Y1B;11/05/2025 14:34;232;JP5DC3;9UJW1T;KDSPro;APP;Exercitationem modi nulla ipsa tempore.;True;4215;False;IMMEDIATE;TAKEOUT;DELIVERYVIP;;PLACED;20;1361;24.25;23/09/2024 08:35;v3.0.2
1;A Casa da Massa;C799EV1M;24/03/2025 04:11;650;M9L3Z3;6DCVNY;DirectOrder;POS;Magnam tempore expedita assumenda ipsam.;False;6851;False;IMMEDIATE;DELIVERY;ANOTAAI;;DISPATCHED;65;2726;41.24;16/06/2025 10:54;v2.4.9
